—лово,„астота,„астота(%)
и,10,3.861%
слова,6,2.3166%
банан,6,2.3166%
дом,5,1.9305%
€блоко,4,1.5444%
вишн€,4,1.5444%
дл€,4,1.5444%
world,3,1.1583%
это,3,1.1583%
тестирование,3,1.1583%
должны,3,1.1583%
кот,3,1.1583%
hello,3,1.1583%
повтор€ющиес€,2,0.772201%
препинани€,2,0.772201%
правильно,2,0.772201%
проверка,2,0.772201%
проверки,2,0.772201%
€зыки,2,0.772201%
программирование,2,0.772201%
работы,2,0.772201%
знаки,2,0.772201%
различные,2,0.772201%
регистры,2,0.772201%
с,2,0.772201%
груша,2,0.772201%
все,2,0.772201%
скобки,2,0.772201%
в,2,0.772201%
буквы,2,0.772201%
слов,2,0.772201%
апельсин,2,0.772201%
1,1,0.3861%
культурой,1,0.3861%
software,1,0.3861%
sql,1,0.3861%
test789,1,0.3861%
the,1,0.3861%
together,1,0.3861%
python,1,0.3861%
xml,1,0.3861%
Є,1,0.3861%
Єжик,1,0.3861%
Єлка,1,0.3861%
алгоритм,1,0.3861%
алоооооооооооооооооооооооооо,1,0.3861%
английские,1,0.3861%
programs,1,0.3861%
programming,1,0.3861%
без,1,0.3861%
богатой,1,0.3861%
больша€,1,0.3861%
больших,1,0.3861%
буквой,1,0.3861%
orange,1,0.3861%
of,1,0.3861%
важнейшую,1,0.3861%
важно,1,0.3861%
важны,1,0.3861%
nosql,1,0.3861%
включа€,1,0.3861%
вли€ть,1,0.3861%
вместе,1,0.3861%
multilingual,1,0.3861%
выводитс€,1,0.3861%
горд€тс€,1,0.3861%
города,1,0.3861%
mixed,1,0.3861%
длинные,1,0.3861%
json,1,0.3861%
должен,1,0.3861%
должно,1,0.3861%
javascript,1,0.3861%
java,1,0.3861%
достаточно,1,0.3861%
достопримечательность,1,0.3861%
другие,1,0.3861%
еж,1,0.3861%
ель,1,0.3861%
it,1,0.3861%
is,1,0.3861%
игнорироватьс€,1,0.3861%
играют,1,0.3861%
интернационализаци€,1,0.3861%
искусство,1,0.3861%
используют,1,0.3861%
историей,1,0.3861%
к,1,0.3861%
кавычки,1,0.3861%
квадратные,1,0.3861%
кириллица,1,0.3861%
компьютерных,1,0.3861%
конец,1,0.3861%
короткие,1,0.3861%
корректно,1,0.3861%
корректную,1,0.3861%
https,1,0.3861%
123,1,0.3861%
http,1,0.3861%
лабораторной,1,0.3861%
латиница,1,0.3861%
мире,1,0.3861%
многие,1,0.3861%
многократные,1,0.3861%
москва,1,0.3861%
на,1,0.3861%
наука,1,0.3861%
не,1,0.3861%
нижнему,1,0.3861%
новосибирск,1,0.3861%
обрабатывать,1,0.3861%
обработке,1,0.3861%
обработку,1,0.3861%
объемов,1,0.3861%
science,1,0.3861%
одном,1,0.3861%
они,1,0.3861%
ошибок,1,0.3861%
петербург,1,0.3861%
по,1,0.3861%
повторы,1,0.3861%
csv,1,0.3861%
подсчет,1,0.3861%
подсчета,1,0.3861%
помогают,1,0.3861%
creating,1,0.3861%
content,1,0.3861%
при,1,0.3861%
приводитьс€,1,0.3861%
проверить,1,0.3861%
computer,1,0.3861%
c,1,0.3861%
программ,1,0.3861%
banana,1,0.3861%
программированию,1,0.3861%
программировани€,1,0.3861%
программы,1,0.3861%
прописные,1,0.3861%
art,1,0.3861%
разделители,1,0.3861%
apple,1,0.3861%
разные,1,0.3861%
разработчики,1,0.3861%
регистру,1,0.3861%
api,1,0.3861%
роль,1,0.3861%
росси€,1,0.3861%
росси€не,1,0.3861%
русские,1,0.3861%
and,1,0.3861%
санкт,1,0.3861%
своей,1,0.3861%
символы,1,0.3861%
abc,1,0.3861%
456test,1,0.3861%
3,1,0.3861%
слово1,1,0.3861%
слово2,1,0.3861%
слово3,1,0.3861%
слово4,1,0.3861%
слово5,1,0.3861%
слово6,1,0.3861%
слово7,1,0.3861%
случаи,1,0.3861%
смешанные,1,0.3861%
собака,1,0.3861%
современном,1,0.3861%
содержит,1,0.3861%
создани€,1,0.3861%
специальные,1,0.3861%
статистика,1,0.3861%
статистики,1,0.3861%
страна,1,0.3861%
считатьс€,1,0.3861%
текст,1,0.3861%
текста,1,0.3861%
тексте,1,0.3861%
термины,1,0.3861%
2,1,0.3861%
тестировани€,1,0.3861%
тестового,1,0.3861%
технические,1,0.3861%
технологии,1,0.3861%
тоже,1,0.3861%
убедитьс€,1,0.3861%
файл,1,0.3861%
формируетс€,1,0.3861%
цифры,1,0.3861%
частот,1,0.3861%
частотности,1,0.3861%
что,1,0.3861%
электромагнитна€,1,0.3861%
123слова456,1,0.3861%
этот,1,0.3861%
крупнейшие,1,0.3861%
одинаково,1,0.3861%
